Model Name;Species Name
msp_0457.mat;Faecalibacterium_prausnitzii_9
msp_0458.mat;Catenibacterium_mitsuokai
msp_0459.mat;unclassified_Roseburia
msp_0460.mat;unclassified_Bacteroides
msp_0461.mat;Clostridiales_bacterium_CIM:MAG_701
msp_0462.mat;unclassified_Ruminococcaceae
msp_0463.mat;[Clostridium]_sp._CAG:167
msp_0464.mat;[Eubacterium]_ramulus_2
msp_0465.mat;unclassified_Opitutae
msp_0466.mat;unclassified_Sutterella
msp_0467.mat;Firmicutes_bacterium_CAG:94
msp_0468.mat;Firmicutes_bacterium_CAG:41_/_[Clostridium]_sp._2789STDY5834935_&_sp._2789STDY5608853
msp_0469.mat;msp_0469.mat
msp_0470.mat;unclassified_Prevotellaceae
msp_0471.mat;unclassified_Clostridiales_6
msp_0472.mat;unclassified_Clostridiales_Family_XIII._Incertae_Sedis
msp_0473.mat;msp_0473.mat
msp_0474.mat;Dakarella_massiliensis
msp_0475.mat;Prevotella_sp._CAG:891
msp_0476.mat;Muribaculaceae_bacterium_sp5
msp_0477.mat;Firmicutes_bacterium_CAG:83
msp_0478.mat;[Clostridium]_phoceensis
msp_0479.mat;[Eubacterium]_sp._Marseille-P5640
msp_0480.mat;unclassified_Lachnospiraceae
msp_0481.mat;Ruminococcus_sp._CAG:579
msp_0482.mat;Mitsuokella_multacida
msp_0483.mat;Veillonella_sp._CAG:933
msp_0484.mat;unclassified_Faecalibacterium
msp_0485.mat;unclassified_Bacteroides
msp_0486.mat;msp_0486.mat
msp_0487.mat;unclassified_Clostridiales_5
msp_0488.mat;Acidaminococcus_massiliensis
msp_0489.mat;unclassified_Blautia
msp_0490.mat;msp_0490.mat
msp_0491.mat;unclassified_Clostridiales_4
msp_0492.mat;unclassified_Clostridiales_6
msp_0493.mat;[Eubacterium]_sp._CAG:603_&_sp.__2789STDY5608818
msp_0494.mat;msp_0494.mat
msp_0495.mat;unclassified_Prevotellaceae
msp_0496.mat;unclassified_Lachnospiraceae
msp_0497.mat;msp_0497.mat
msp_0498.mat;Ruminococcus_sp._CAG:488
msp_0499.mat;[Clostridium]_sp._CAG:590
msp_0500.mat;unclassified_Erysipelotrichaceae
msp_0501.mat;Megasphaera_elsdenii
msp_0502.mat;unclassified_Bacteroides
msp_0503.mat;Coraliomargarita_sp._CAG:312
msp_0504.mat;msp_0504.mat
msp_0505.mat;unclassified_Oscillibacter
msp_0506.mat;Dorea_formicigenerans
msp_0507.mat;unclassified_Lachnospiraceae
msp_0508.mat;unclassified_Bacteroidales
msp_0509.mat;Evtepia_gabavorus
msp_0510.mat;[Clostridium]_glycyrrhizinilyticum
msp_0511.mat;unclassified_Muribaculaceae
msp_0512.mat;[Firmicutes]_bacterium_CAG:321
msp_0513.mat;unclassified_Clostridiales_5
msp_0514.mat;unclassified_Lachnospiraceae
msp_0515.mat;unclassified_Clostridium
msp_0516.mat;msp_0516.mat
msp_0517.mat;Bacteroidales_bacterium_H10
msp_0518.mat;unclassified_Coriobacteriia
msp_0519.mat;Prevotella_sp._CAG:924
msp_0520.mat;msp_0520.mat
msp_0521.mat;[Ruminococcaceae]_bacterium_CIM:MAG_1403
msp_0522.mat;Anaerotruncus_colihominis
msp_0523.mat;unclassified_Alistipes
msp_0524.mat;Mordavella_sp._Marseille-P3756
msp_0525.mat;unclassified_Muribaculaceae
msp_0526.mat;unclassified_Clostridiales_4
msp_0527.mat;[Clostridium]_sp._CAG:307
msp_0528.mat;unclassified_Parabacteroides
msp_0529.mat;[Eubacterium]_sp._CAG:581
msp_0530.mat;Dorea_longicatena_2
msp_0531.mat;unclassified_Muribaculaceae
msp_0532.mat;msp_0532.mat
msp_0533.mat;unclassified_Roseburia
msp_0534.mat;Firmicutes_bacterium_CAG:176_63_11
msp_0535.mat;Prevotellaceae_bacterium_CIM:MAG_724
msp_0536.mat;unclassified_Clostridiales_5
msp_0537.mat;Alistipes_sp._An31A_&_Marseille-P5061_&_UBA1813
msp_0538.mat;Phascolarctobacterium_succinatutens
msp_0539.mat;unclassified_Roseburia
msp_0540.mat;[Clostridium]_sp._CAG:448
msp_0541.mat;unclassified_Clostridiales_5
msp_0542.mat;[Clostridiaceae]_bacterium_CIM:MAG_755_/_[Clostridium]_sp._CAG:230
msp_0543.mat;msp_0543.mat
msp_0544.mat;msp_0544.mat
msp_0545.mat;Pseudoflavonifractor_sp._An184
msp_0546.mat;[Clostridium]_sp._CAG:245_&_CIM:MAG_941
msp_0547.mat;unclassified_Prevotellaceae
msp_0548.mat;unclassified_Lachnospiraceae
msp_0549.mat;unclassified_Prevotella
msp_0550.mat;unclassified_Lachnospiraceae
